Jrue Holiday,38.03,7900
Klay Thompson,31.90,6800
CJ McCollum,34.42,6700
Dwyane Wade,23.97,5400
JJ Redick,26.64,5200
Marco Belinelli,19.81,5000
Patty Mills,18.45,4300
Manu Ginobili,16.96,4100
E'Twaun Moore,21.72,4100
Evan Turner,17.01,4000
Tyler Johnson,22.10,3900
Wayne Ellington,18.92,3800
Danny Green,19.48,3800
Shabazz Napier,17.02,3700
Markelle Fultz,17.39,3400
Ian Clark,13.01,3400
Shaun Livingston,12.02,3200
T.J. McConnell,17.92,3000
Bryn Forbes,11.34,2900
Nick Young,11.30,2900
Rodney McGruder,9.3,2800
Pat Connaughton,10.91,2800
Furkan Korkmaz,3.58,2500
Jerryd Bayless,14.10,2500
Timothe Luwawu-Cabarrot,9.84,2500
Derrick Walton Jr.,5.97,2500
Derrick Jones Jr.,7.7,2500
Brandon Paul,5.84,2500
Darrun Hilliard,3.09,2500
Derrick White,7.53,2500
Wade Baldwin IV,7.88,2500
CJ Wilcox,0,2500
Charles Cooke,1,2500
Frank Jackson,0,2500
Jordan Crawford,12.65,2500
DeAndre Liggins,6.58,2500
