Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Anthony Davis (10563641),Anthony Davis,10563641,PF/C/F/UTIL,10900,POR@NO 04/19/2018 09:00PM ET,NO,54.06
SF/PF,Kevin Durant (10563645),Kevin Durant,10563645,SF/PF/F/UTIL,10300,GS@SA 04/19/2018 09:30PM ET,GS,48.12
PG/SF,Ben Simmons (10563649),Ben Simmons,10563649,PG/SF/F/G/UTIL,10200,PHI@MIA 04/19/2018 07:00PM ET,PHI,43.02
PF/C,LaMarcus Aldridge (10563658),LaMarcus Aldridge,10563658,PF/C/F/UTIL,9400,GS@SA 04/19/2018 09:30PM ET,SA,40.21
PG,Damian Lillard (10563662),Damian Lillard,10563662,PG/G/UTIL,8900,POR@NO 04/19/2018 09:00PM ET,POR,45.25
PG/SG,Jrue Holiday (10563667),Jrue Holiday,10563667,PG/SG/G/UTIL,7900,POR@NO 04/19/2018 09:00PM ET,NO,38.03
PF/C,Draymond Green (10563671),Draymond Green,10563671,PF/C/F/UTIL,7500,GS@SA 04/19/2018 09:30PM ET,GS,36.59
PG,Rajon Rondo (10563675),Rajon Rondo,10563675,PG/G/UTIL,7400,POR@NO 04/19/2018 09:00PM ET,NO,28.17
PF,Nikola Mirotic (10563678),Nikola Mirotic,10563678,PF/F/UTIL,7000,POR@NO 04/19/2018 09:00PM ET,NO,31.36
SG,Klay Thompson (10563681),Klay Thompson,10563681,SG/G/UTIL,6800,GS@SA 04/19/2018 09:30PM ET,GS,31.90
PG/SG,CJ McCollum (10563684),CJ McCollum,10563684,PG/SG/G/UTIL,6700,POR@NO 04/19/2018 09:00PM ET,POR,34.42
SF/PF,Dario Saric (10563688),Dario Saric,10563688,SF/PF/F/UTIL,6600,PHI@MIA 04/19/2018 07:00PM ET,PHI,29.64
PG,Goran Dragic (10563692),Goran Dragic,10563692,PG/G/UTIL,6300,PHI@MIA 04/19/2018 07:00PM ET,MIA,31.19
C,Jusuf Nurkic (10563695),Jusuf Nurkic,10563695,C/UTIL,6200,POR@NO 04/19/2018 09:00PM ET,POR,31.86
PF/C,Kelly Olynyk (10563697),Kelly Olynyk,10563697,PF/C/F/UTIL,6100,PHI@MIA 04/19/2018 07:00PM ET,MIA,25.34
PF/C,Ersan Ilyasova (10563701),Ersan Ilyasova,10563701,PF/C/F/UTIL,5800,PHI@MIA 04/19/2018 07:00PM ET,PHI,23.32
PF/C,James Johnson (10563709),James Johnson,10563709,PF/C/F/UTIL,5700,PHI@MIA 04/19/2018 07:00PM ET,MIA,25.72
SF/PF,Robert Covington (10563713),Robert Covington,10563713,SF/PF/F/UTIL,5600,PHI@MIA 04/19/2018 07:00PM ET,PHI,28.13
PG/SF,Josh Richardson (10563717),Josh Richardson,10563717,PG/SF/F/G/UTIL,5500,PHI@MIA 04/19/2018 07:00PM ET,MIA,26.30
PG/SG,Dwyane Wade (10563722),Dwyane Wade,10563722,PG/SG/G/UTIL,5400,PHI@MIA 04/19/2018 07:00PM ET,MIA,23.97
C,Hassan Whiteside (10563726),Hassan Whiteside,10563726,C/UTIL,5400,PHI@MIA 04/19/2018 07:00PM ET,MIA,33.77
SF/PF,Al-Farouq Aminu (10563728),Al-Farouq Aminu,10563728,SF/PF/F/UTIL,5300,POR@NO 04/19/2018 09:00PM ET,POR,24.76
SG/SF,JJ Redick (10563732),JJ Redick,10563732,SG/SF/F/G/UTIL,5200,PHI@MIA 04/19/2018 07:00PM ET,PHI,26.64
SF/PF,Rudy Gay (10563737),Rudy Gay,10563737,SF/PF/F/UTIL,5100,GS@SA 04/19/2018 09:30PM ET,SA,22.66
SG/SF,Marco Belinelli (10563741),Marco Belinelli,10563741,SG/SF/F/G/UTIL,5000,PHI@MIA 04/19/2018 07:00PM ET,PHI,19.81
